lot_id,start_time,end_time,worker_id,material_batch,defect_status
LOT_2026_019,2026-03-01 12:30:00,2026-03-01 12:43:00,Worker_B,Raw_MAT_X,0
LOT_2026_020,2026-03-01 12:43:10,2026-03-01 12:56:10,Worker_C,Raw_MAT_Y,0
LOT_2026_021,2026-03-01 12:56:20,2026-03-01 13:13:20,Worker_C,Raw_MAT_Y,0
LOT_2026_022,2026-03-01 13:13:30,2026-03-01 13:30:30,Worker_A,Raw_MAT_X,0
LOT_2026_023,2026-03-01 13:30:40,2026-03-01 13:46:40,Worker_A,Raw_MAT_X,0
LOT_2026_024,2026-03-01 13:46:50,2026-03-01 14:02:50,Worker_B,Raw_MAT_Y,0
LOT_2026_025,2026-03-01 14:03:00,2026-03-01 14:18:00,Worker_B,Raw_MAT_X,0
LOT_2026_026,2026-03-01 14:18:10,2026-03-01 14:34:10,Worker_A,Raw_MAT_Y,0
LOT_2026_027,2026-03-01 14:34:20,2026-03-01 14:46:20,Worker_A,Raw_MAT_X,0
LOT_2026_028,2026-03-01 14:46:30,2026-03-01 15:00:30,Worker_A,Raw_MAT_Y,0
LOT_2026_029,2026-03-01 15:00:40,2026-03-01 15:14:40,Worker_C,Raw_MAT_X,1
LOT_2026_030,2026-03-01 15:14:50,2026-03-01 15:27:50,Worker_A,Raw_MAT_Y,0
LOT_2026_031,2026-03-01 15:28:00,2026-03-01 15:43:00,Worker_A,Raw_MAT_X,0
LOT_2026_032,2026-03-01 15:43:10,2026-03-01 16:00:10,Worker_A,Raw_MAT_Y,0
LOT_2026_033,2026-03-01 16:00:20,2026-03-01 16:17:20,Worker_C,Raw_MAT_X,0
LOT_2026_034,2026-03-01 16:17:30,2026-03-01 16:33:30,Worker_C,Raw_MAT_Y,0
LOT_2026_035,2026-03-01 16:33:40,2026-03-01 16:49:40,Worker_B,Raw_MAT_Y,1
LOT_2026_036,2026-03-01 16:49:50,2026-03-01 17:03:50,Worker_B,Raw_MAT_X,0
LOT_2026_037,2026-03-01 17:04:00,2026-03-01 17:17:00,Worker_B,Raw_MAT_X,0
LOT_2026_038,2026-03-01 17:17:10,2026-03-01 17:29:10,Worker_A,Raw_MAT_X,0
LOT_2026_039,2026-03-01 17:29:20,2026-03-01 17:46:20,Worker_A,Raw_MAT_Y,0
LOT_2026_040,2026-03-01 17:46:30,2026-03-01 18:00:30,Worker_A,Raw_MAT_Y,0
LOT_2026_041,2026-03-01 18:00:40,2026-03-01 18:14:40,Worker_B,Raw_MAT_Y,1
LOT_2026_042,2026-03-01 18:14:50,2026-03-01 18:27:50,Worker_C,Raw_MAT_Y,0
LOT_2026_043,2026-03-01 18:28:00,2026-03-01 18:45:00,Worker_B,Raw_MAT_X,0
LOT_2026_044,2026-03-01 18:45:10,2026-03-01 19:00:10,Worker_C,Raw_MAT_X,0
LOT_2026_045,2026-03-01 19:00:20,2026-03-01 19:13:20,Worker_A,Raw_MAT_X,0
LOT_2026_046,2026-03-01 19:13:30,2026-03-01 19:30:30,Worker_A,Raw_MAT_X,0
LOT_2026_047,2026-03-01 19:30:40,2026-03-01 19:47:40,Worker_A,Raw_MAT_X,0
LOT_2026_048,2026-03-01 19:47:50,2026-03-01 20:01:50,Worker_A,Raw_MAT_X,0
LOT_2026_049,2026-03-01 20:02:00,2026-03-01 20:14:00,Worker_B,Raw_MAT_Y,0
LOT_2026_050,2026-03-01 20:14:10,2026-03-01 20:27:10,Worker_A,Raw_MAT_Y,0
LOT_2026_051,2026-03-01 20:27:20,2026-03-01 20:44:20,Worker_A,Raw_MAT_X,0
LOT_2026_052,2026-03-01 20:44:30,2026-03-01 20:59:30,Worker_A,Raw_MAT_Y,0
LOT_2026_053,2026-03-01 20:59:40,2026-03-01 21:14:40,Worker_A,Raw_MAT_Y,0
LOT_2026_054,2026-03-01 21:14:50,2026-03-01 21:28:50,Worker_A,Raw_MAT_X,0
LOT_2026_055,2026-03-01 21:29:00,2026-03-01 21:41:00,Worker_A,Raw_MAT_Y,0
LOT_2026_056,2026-03-01 21:41:10,2026-03-01 21:56:10,Worker_A,Raw_MAT_X,0
LOT_2026_057,2026-03-01 21:56:20,2026-03-01 22:08:20,Worker_B,Raw_MAT_Y,1
LOT_2026_058,2026-03-01 22:08:30,2026-03-01 22:24:30,Worker_B,Raw_MAT_Y,1
LOT_2026_059,2026-03-01 22:24:40,2026-03-01 22:39:40,Worker_A,Raw_MAT_X,0
LOT_2026_060,2026-03-01 22:39:50,2026-03-01 22:51:50,Worker_C,Raw_MAT_X,0
LOT_2026_061,2026-03-01 22:52:00,2026-03-01 23:07:00,Worker_C,Raw_MAT_X,0
LOT_2026_062,2026-03-01 23:07:10,2026-03-01 23:19:10,Worker_A,Raw_MAT_X,1
LOT_2026_063,2026-03-01 23:19:20,2026-03-01 23:35:20,Worker_C,Raw_MAT_X,0
LOT_2026_064,2026-03-01 23:35:30,2026-03-01 23:50:30,Worker_A,Raw_MAT_X,0
LOT_2026_065,2026-03-01 23:50:40,2026-03-02 00:04:40,Worker_A,Raw_MAT_X,0
LOT_2026_066,2026-03-02 00:04:50,2026-03-02 00:16:50,Worker_B,Raw_MAT_X,0
LOT_2026_067,2026-03-02 00:17:00,2026-03-02 00:30:00,Worker_C,Raw_MAT_Y,0
LOT_2026_068,2026-03-02 00:30:10,2026-03-02 00:42:10,Worker_A,Raw_MAT_Y,0
LOT_2026_069,2026-03-02 00:42:20,2026-03-02 00:59:20,Worker_B,Raw_MAT_X,0
LOT_2026_070,2026-03-02 00:59:30,2026-03-02 01:12:30,Worker_C,Raw_MAT_X,0
LOT_2026_071,2026-03-02 01:12:40,2026-03-02 01:24:40,Worker_A,Raw_MAT_X,0
LOT_2026_072,2026-03-02 01:24:50,2026-03-02 01:39:50,Worker_B,Raw_MAT_Y,0
LOT_2026_073,2026-03-02 01:40:00,2026-03-02 01:52:00,Worker_A,Raw_MAT_Y,0
LOT_2026_074,2026-03-02 01:52:10,2026-03-02 02:06:10,Worker_C,Raw_MAT_X,0
LOT_2026_075,2026-03-02 02:06:20,2026-03-02 02:18:20,Worker_B,Raw_MAT_X,1
LOT_2026_076,2026-03-02 02:18:30,2026-03-02 02:33:30,Worker_C,Raw_MAT_Y,0
LOT_2026_077,2026-03-02 02:33:40,2026-03-02 02:47:40,Worker_A,Raw_MAT_Y,0
LOT_2026_078,2026-03-02 02:47:50,2026-03-02 02:59:50,Worker_A,Raw_MAT_X,0
LOT_2026_079,2026-03-02 03:00:00,2026-03-02 03:13:00,Worker_B,Raw_MAT_X,0
LOT_2026_080,2026-03-02 03:13:10,2026-03-02 03:29:10,Worker_A,Raw_MAT_Y,0
LOT_2026_081,2026-03-02 03:29:20,2026-03-02 03:41:20,Worker_B,Raw_MAT_X,0
LOT_2026_082,2026-03-02 03:41:30,2026-03-02 03:55:30,Worker_B,Raw_MAT_X,0
LOT_2026_083,2026-03-02 03:55:40,2026-03-02 04:10:40,Worker_B,Raw_MAT_Y,0
LOT_2026_084,2026-03-02 04:10:50,2026-03-02 04:27:50,Worker_A,Raw_MAT_Y,0
LOT_2026_085,2026-03-02 04:28:00,2026-03-02 04:44:00,Worker_B,Raw_MAT_Y,1
LOT_2026_086,2026-03-02 04:44:10,2026-03-02 04:58:10,Worker_C,Raw_MAT_X,0
LOT_2026_087,2026-03-02 04:58:20,2026-03-02 05:13:20,Worker_B,Raw_MAT_Y,0
LOT_2026_088,2026-03-02 05:13:30,2026-03-02 05:28:30,Worker_C,Raw_MAT_X,0
LOT_2026_089,2026-03-02 05:28:40,2026-03-02 05:42:40,Worker_C,Raw_MAT_X,0
LOT_2026_090,2026-03-02 05:42:50,2026-03-02 05:57:50,Worker_C,Raw_MAT_Y,0
LOT_2026_091,2026-03-02 05:58:00,2026-03-02 06:14:00,Worker_C,Raw_MAT_Y,0
LOT_2026_092,2026-03-02 06:14:10,2026-03-02 06:30:10,Worker_C,Raw_MAT_X,0
LOT_2026_093,2026-03-02 06:30:20,2026-03-02 06:46:20,Worker_B,Raw_MAT_Y,1
LOT_2026_094,2026-03-02 06:46:30,2026-03-02 07:01:30,Worker_A,Raw_MAT_X,0
LOT_2026_095,2026-03-02 07:01:40,2026-03-02 07:13:40,Worker_A,Raw_MAT_X,0
LOT_2026_096,2026-03-02 07:13:50,2026-03-02 07:25:50,Worker_A,Raw_MAT_Y,0
LOT_2026_097,2026-03-02 07:26:00,2026-03-02 07:40:00,Worker_B,Raw_MAT_X,1
LOT_2026_098,2026-03-02 07:40:10,2026-03-02 07:57:10,Worker_A,Raw_MAT_X,0
LOT_2026_099,2026-03-02 07:57:20,2026-03-02 08:10:20,Worker_C,Raw_MAT_Y,0
LOT_2026_100,2026-03-02 08:10:30,2026-03-02 08:22:30,Worker_A,Raw_MAT_Y,0
